"","ANO_MES","PIB","BR.PESADOS","BR.LEVES","SP.PESADOS","SP.LEVES","D1","OUTLIER","X"
"1",200901,121.77,111.7409362,113.6753177,108.834295,119.7489836,"jan",0,NA
"2",200902,119.13,107.8646045,96.36406185,93.41047029,116.181336,"fev",1,NA
"3",200903,134.57,126.9090389,101.374719,101.0490332,134.8777489,"mar",0,NA
"4",200904,132.24,120.3350268,95.78530589,97.23304358,130.9056486,"abr",0,NA
"5",200905,132.83,124.2309421,97.85482371,98.24927444,135.3450559,"mai",0,NA
"6",200906,133.83,125.2630689,92.26953857,92.04227783,137.1594319,"jun",0,NA
"7",200907,137.09,123.4103647,105.3940123,106.0077835,135.9364055,"jul",0,NA
"8",200908,137.36,129.8679745,98.46832839,98.78127135,143.7584112,"ago",0,NA
"9",200909,138.33,123.4378725,94.31505841,94.84282377,136.9615893,"set",0,NA
"10",200910,140.07,123.3625083,98.3402227,98.52991367,135.5827167,"out",0,NA
"11",200911,137.01,122.2068959,98.99562253,99.87061404,134.0936981,"nov",0,NA
"12",200912,138.53,124.2358728,117.0052086,116.199371,135.8589144,"dez",0,NA
"13",201001,131.65,113.7024801,118.5726904,115.4475531,123.9921997,"jan",0,NA
"14",201002,130.94,107.4609865,98.02162951,94.58103982,116.1938259,"fev",1,NA
"15",201003,151.44,128.4353752,99.32752422,99.25124776,139.2606558,"mar",0,NA
"16",201004,146.84,115.9494655,101.14033,102.0040729,125.5235286,"abr",0,NA
"17",201005,145.08,125.4552094,96.15068591,96.80692368,138.0833191,"mai",0,NA
"18",201006,142.69,120.5302062,91.18879892,92.34871235,134.0966598,"jun",0,NA
"19",201007,146.43,125.3898144,105.0401406,106.596937,139.7805842,"jul",0,NA
"20",201008,147.26,132.4200241,98.52457112,99.74770005,147.7772217,"ago",0,NA
"21",201009,145.73,125.4421918,99.61660338,101.2031556,140.7672935,"set",0,NA
"22",201010,146.38,129.4880933,102.5580145,103.6195045,143.9583788,"out",0,NA
"23",201011,146.27,127.423437,103.1937519,104.6916089,143.117178,"nov",0,NA
"24",201012,146.69,125.4451148,122.6529232,122.748697,139.6289174,"dez",0,NA
"25",201101,138.62,119.775254,120.3640298,117.8351388,132.5565199,"jan",0,NA
"26",201102,140.51,110.9508873,103.76754,101.8995525,121.4436504,"fev",0,NA
"27",201103,153.78,134.0259104,104.3203354,105.4898881,146.2755008,"mar",0,NA
"28",201104,151.59,121.3264186,105.2848456,107.3076025,133.4266446,"abr",0,NA
"29",201105,152.12,131.6113578,101.182705,102.9789655,146.2438843,"mai",0,NA
"30",201106,148.09,126.5956472,100.5703348,102.2969639,140.9420878,"jun",0,NA
"31",201107,150.45,131.6201594,110.8273588,113.4845309,145.3295061,"jul",0,NA
"32",201108,152.48,140.9803842,105.7360474,107.7556163,156.5486453,"ago",0,NA
"33",201109,149.33,132.58698,109.8710409,112.1955747,147.9804303,"set",0,NA
"34",201110,149.59,143.126895,112.1407687,114.0580215,159.3816752,"out",0,NA
"35",201111,148.99,133.8465324,110.7871879,112.1257436,150.0494278,"nov",0,NA
"36",201112,150,129.1730973,128.9386523,128.095983,142.7072854,"dez",0,NA
"37",201201,140.78,129.3984077,127.3388643,123.5760253,142.2221341,"jan",0,NA
"38",201202,141.21,122.9412648,110.7040693,108.8124484,134.7525099,"fev",0,NA
"39",201203,156.86,133.9824989,116.020791,117.0956531,145.1619277,"mar",0,NA
"40",201204,152.35,136.3475738,109.6656038,112.1213444,149.2940442,"abr",0,NA
"41",201205,154.15,138.0297937,114.6309637,116.4111493,151.6053768,"mai",0,NA
"42",201206,150.81,137.6811281,107.1954675,108.6165428,153.4604697,"jun",0,NA
"43",201207,154.59,146.3139197,120.9248546,123.0249681,162.5239866,"jul",0,NA
"44",201208,158.25,140.9281286,113.7165799,115.5601499,157.9222874,"ago",0,NA
"45",201209,150.43,143.3529069,110.8299329,112.2385068,161.1812188,"set",0,NA
"46",201210,157.47,146.2116533,115.7266871,118.5642663,164.0128828,"out",0,NA
"47",201211,152.65,132.4890955,115.6498276,118.1517407,147.329266,"nov",0,NA
"48",201212,151,128.0688427,135.3297784,134.8746242,140.4258987,"dez",0,NA
"49",201301,147.71,117.6200429,130.4524601,127.1568152,128.2132703,"jan",0,NA
"50",201302,143.04,113.0978424,114.1763064,111.650051,122.4901814,"fev",0,NA
"51",201303,160.52,134.7660026,113.2281217,116.1061915,146.4008543,"mar",0,NA
"52",201304,164.07,129.6702101,117.8686089,120.9243599,140.7361804,"abr",0,NA
"53",201305,158.69,134.0318063,116.52723,119.0196705,147.0735393,"mai",0,NA
"54",201306,154.12,131.0401619,110.8438259,112.5920907,144.3908806,"jun",0,NA
"55",201307,159.94,136.0964335,121.815774,123.7963568,149.781384,"jul",0,NA
"56",201308,160.41,135.4985323,117.7109513,120.2921343,150.8844484,"ago",0,NA
"57",201309,156.14,137.279836,118.4087123,120.1786296,153.1538195,"set",0,NA
"58",201310,160.79,143.1698259,127.5861714,129.8921537,160.0556391,"out",0,NA
"59",201311,156.5,137.5544483,121.8588621,124.1844009,153.3062972,"nov",0,NA
"60",201312,152.53,138.7875511,142.6120495,141.5592712,152.2123411,"dez",0,NA
